"ID","Case.Number","Date","Block","IUCR","Primary.Type","Description","Location.Description","Arrest","Domestic","Beat","District","Ward","Community.Area","FBI.Code","Year","Updated.On","Time","ActiveOrInactive"
7870071,"HT100317",2011-01-01,"008XX E 79TH ST","0460","BATTERY","SIMPLE","CTA BUS","true","false",624,6,6,69,"08B",2011,"02/04/2016 06:33:39 AM",00:15:00,"Active"
7869621,"HT100175",2011-01-01,"001XX N STATE ST","0560","ASSAULT","SIMPLE","CTA PLATFORM","false","false",122,1,42,32,"08A",2011,"02/04/2016 06:33:39 AM",01:30:00,"Active"
7869647,"HT100156",2011-01-01,"011XX W 69TH ST","0460","BATTERY","SIMPLE","CTA BUS","false","false",724,7,17,68,"08B",2011,"02/04/2016 06:33:39 AM",01:45:00,"Active"
7869682,"HT100176",2011-01-01,"0000X S STATE ST","0810","THEFT","OVER $500","CTA TRAIN","false","false",123,1,42,32,"06",2011,"02/04/2016 06:33:39 AM",02:00:00,"Active"
7870254,"HT101146",2011-01-01,"009XX W FULLERTON AVE","0870","THEFT","POCKET-PICKING","CTA TRAIN","false","false",1812,18,43,7,"06",2011,"02/04/2016 06:33:39 AM",02:00:00,"Active"
7869713,"HT100235",2011-01-01,"009XX W FULLERTON AVE","1563","SEX OFFENSE","CRIMINAL SEXUAL ABUSE","CTA TRAIN","false","false",1812,18,43,7,"17",2011,"02/04/2016 06:33:39 AM",02:30:00,"Active"
7870065,"HT100800",2011-01-01,"0000X W 79TH ST","0486","BATTERY","DOMESTIC BATTERY SIMPLE","CTA BUS STOP","false","true",623,6,6,44,"08B",2011,"02/04/2016 06:33:39 AM",02:40:00,"Active"
7869656,"HT100245",2011-01-01,"015XX W CHICAGO AVE","0460","BATTERY","SIMPLE","CTA BUS","false","false",1323,12,1,24,"08B",2011,"02/04/2016 06:33:39 AM",02:50:00,"Active"
7869657,"HT100301",2011-01-01,"008XX W NORTH AVE","0870","THEFT","POCKET-PICKING","CTA TRAIN","false","false",1822,18,43,8,"06",2011,"02/04/2016 06:33:39 AM",03:30:00,"Active"
7869735,"HT100292",2011-01-01,"002XX S STATE ST","0312","ROBBERY","ARMED:KNIFE/CUTTING INSTRUMENT","CTA TRAIN","false","false",123,1,42,32,"03",2011,"02/04/2016 06:33:39 AM",03:30:00,"Active"
7872988,"HT103553",2011-01-01,"022XX N CALIFORNIA AVE","0820","THEFT","$500 AND UNDER","CTA TRAIN","false","false",1414,14,35,22,"06",2011,"02/04/2016 06:33:39 AM",04:00:00,"Active"
7869744,"HT100371",2011-01-01,"063XX N BROADWAY","0460","BATTERY","SIMPLE","CTA BUS","true","false",2433,24,40,77,"08B",2011,"02/04/2016 06:33:39 AM",04:23:00,"Active"
7869874,"HT100451",2011-01-01,"001XX N STATE ST","0320","ROBBERY","STRONGARM - NO WEAPON","CTA TRAIN","false","false",122,1,42,32,"03",2011,"02/04/2016 06:33:39 AM",05:30:00,"Active"
7874466,"HT105058",2011-01-01,"011XX S STATE ST","0320","ROBBERY","STRONGARM - NO WEAPON","CTA TRAIN","false","false",132,1,2,32,"03",2011,"02/04/2016 06:33:39 AM",06:03:00,"Active"
7872408,"HT100492",2011-01-01,"063XX S WOLCOTT AVE","0460","BATTERY","SIMPLE","CTA BUS","false","false",726,7,15,67,"08B",2011,"02/04/2016 06:33:39 AM",06:40:00,"Active"
7870094,"HT100559",2011-01-01,"003XX W CHICAGO AVE","0320","ROBBERY","STRONGARM - NO WEAPON","CTA TRAIN","false","false",1823,18,27,8,"03",2011,"02/04/2016 06:33:39 AM",08:45:00,"Inactive"
7877739,"HT100978",2011-01-01,"015XX N SEDGWICK ST","0810","THEFT","OVER $500","CTA TRAIN","false","false",1821,18,43,8,"06",2011,"02/04/2016 06:33:39 AM",15:00:00,"Inactive"
7870280,"HT101136",2011-01-01,"004XX S RACINE AVE","0460","BATTERY","SIMPLE","CTA PLATFORM","true","false",1213,12,2,28,"08B",2011,"02/04/2016 06:33:39 AM",17:16:00,"Inactive"
7870309,"HT101202",2011-01-01,"040XX W LAKE ST","1210","DECEPTIVE PRACTICE","THEFT OF LABOR/SERVICES","CTA PLATFORM","true","false",1114,11,28,26,"11",2011,"02/04/2016 06:33:39 AM",18:00:00,"Inactive"
7870493,"HT101240",2011-01-01,"015XX N CLYBOURN AVE","0320","ROBBERY","STRONGARM - NO WEAPON","CTA PLATFORM","true","false",1822,18,43,8,"03",2011,"02/04/2016 06:33:39 AM",18:30:00,"Inactive"
7878190,"HT101263",2011-01-01,"002XX S DEARBORN ST","2850","PUBLIC PEACE VIOLATION","BOMB THREAT","CTA PLATFORM","true","false",123,1,42,32,"26",2011,"02/04/2016 06:33:39 AM",18:57:00,"Inactive"
7871128,"HT101327",2011-01-01,"001XX W LAKE ST","0560","ASSAULT","SIMPLE","CTA TRAIN","false","false",113,1,42,32,"08A",2011,"02/04/2016 06:33:39 AM",20:15:00,"Inactive"
7871284,"HT101911",2011-01-01,"021XX S KEDZIE AVE","0320","ROBBERY","STRONGARM - NO WEAPON","CTA BUS STOP","false","false",1022,10,24,30,"03",2011,"02/04/2016 06:33:39 AM",21:00:00,"Inactive"
7872672,"HT101362",2011-01-01,"003XX N CENTRAL AVE","0320","ROBBERY","STRONGARM - NO WEAPON","CTA PLATFORM","true","false",1512,15,29,25,"03",2011,"02/04/2016 06:33:39 AM",21:24:00,"Inactive"
7870650,"HT101597",2011-01-02,"063XX S KEDZIE AVE","0820","THEFT","$500 AND UNDER","CTA BUS STOP","false","false",823,8,15,66,"06",2011,"02/04/2016 06:33:39 AM",03:15:00,"Active"
7870682,"HT101623",2011-01-02,"047XX S DAN RYAN XPRS IB","0870","THEFT","POCKET-PICKING","CTA TRAIN","false","false",935,9,3,37,"06",2011,"02/04/2016 06:33:39 AM",04:50:00,"Active"
7871721,"HT101624",2011-01-02,"001XX W 35TH ST","0870","THEFT","POCKET-PICKING","CTA TRAIN","false","false",924,9,11,34,"06",2011,"02/04/2016 06:33:39 AM",05:09:00,"Active"
7871107,"HT101962",2011-01-02,"075XX N PAULINA AVE","2890","PUBLIC PEACE VIOLATION","OTHER VIOLATION","CTA PLATFORM","true","false",2422,24,49,1,"26",2011,"02/04/2016 06:33:39 AM",13:08:00,"Inactive"
7882492,"HT102039",2011-01-02,"047XX S STATE ST","0460","BATTERY","SIMPLE","CTA TRAIN","false","false",231,2,3,38,"08B",2011,"02/04/2016 06:33:39 AM",13:30:00,"Inactive"
7871496,"HT102304",2011-01-02,"010XX W 95TH ST","1320","CRIMINAL DAMAGE","TO VEHICLE","CTA BUS","false","false",2223,22,21,73,"14",2011,"02/04/2016 06:33:39 AM",18:15:00,"Inactive"
7872146,"HT102954",2011-01-02,"015XX N CLYBOURN AVE","0810","THEFT","OVER $500","CTA PLATFORM","false","false",1822,18,27,8,"06",2011,"02/04/2016 06:33:39 AM",18:50:00,"Inactive"
7871581,"HT102522",2011-01-02,"004XX E 35TH ST","0545","ASSAULT","PRO EMP HANDS NO/MIN INJURY","CTA BUS","true","false",212,2,4,35,"08A",2011,"02/04/2016 06:33:39 AM",22:00:00,"Inactive"
7871633,"HT102616",2011-01-02,"016XX N DAMEN AVE","0870","THEFT","POCKET-PICKING","CTA PLATFORM","false","false",1434,14,32,24,"06",2011,"02/04/2016 06:33:39 AM",23:45:00,"Inactive"
7879594,"HT102846",2011-01-03,"0000X W 69TH ST","0460","BATTERY","SIMPLE","CTA PLATFORM","false","false",731,7,6,69,"08B",2011,"02/04/2016 06:33:39 AM",08:37:00,"Inactive"
7872313,"HT102966",2011-01-03,"048XX N BROADWAY","0870","THEFT","POCKET-PICKING","CTA BUS","false","false",2033,20,48,3,"06",2011,"02/04/2016 06:33:39 AM",10:45:00,"Inactive"
7872253,"HT103057",2011-01-03,"040XX W LAKE ST","1210","DECEPTIVE PRACTICE","THEFT OF LABOR/SERVICES","CTA PLATFORM","true","false",1114,11,28,26,"11",2011,"02/04/2016 06:33:39 AM",11:30:00,"Inactive"
7872423,"HT103103",2011-01-03,"015XX N SEDGWICK ST","0810","THEFT","OVER $500","CTA TRAIN","false","false",1821,18,43,8,"06",2011,"02/04/2016 06:33:39 AM",12:00:00,"Inactive"
7872926,"HT103894",2011-01-03,"0000X W 79TH ST","1150","DECEPTIVE PRACTICE","CREDIT CARD FRAUD","CTA TRAIN","false","false",623,6,6,44,"11",2011,"02/04/2016 06:33:39 AM",12:30:00,"Inactive"
7875946,"HT106448",2011-01-03,"017XX W LAWRENCE AVE","0870","THEFT","POCKET-PICKING","CTA BUS","false","false",2032,20,47,3,"06",2011,"02/04/2016 06:33:39 AM",13:30:00,"Inactive"
7872955,"HT103687",2011-01-03,"009XX W BELMONT AVE","0810","THEFT","OVER $500","CTA TRAIN","false","false",1932,19,44,6,"06",2011,"02/04/2016 06:33:39 AM",16:00:00,"Inactive"
7893103,"HT123200",2011-01-03,"019XX N CLARK ST","0560","ASSAULT","SIMPLE","CTA BUS","false","true",1814,18,43,7,"08A",2011,"02/04/2016 06:33:39 AM",16:00:00,"Inactive"
7911279,"HT104125",2011-01-03,"002XX W 63RD ST","033A","ROBBERY","ATTEMPT: ARMED-HANDGUN","CTA PLATFORM","false","false",711,7,20,68,"03",2011,"02/04/2016 06:33:39 AM",16:15:00,"Inactive"
7875929,"HT105934",2011-01-03,"005XX W 103RD ST","0460","BATTERY","SIMPLE","CTA BUS","false","false",2232,22,9,73,"08B",2011,"02/04/2016 06:33:39 AM",17:00:00,"Inactive"
7873148,"HT104122",2011-01-03,"046XX N BROADWAY","0320","ROBBERY","STRONGARM - NO WEAPON","CTA TRAIN","false","false",2311,19,46,3,"03",2011,"02/04/2016 06:33:39 AM",19:15:00,"Inactive"
7873792,"HT104602",2011-01-03,"063XX S DR MARTIN LUTHER KING JR DR","0870","THEFT","POCKET-PICKING","CTA BUS STOP","false","false",312,3,20,69,"06",2011,"02/04/2016 06:33:39 AM",20:00:00,"Inactive"
7873630,"HT104075",2011-01-03,"001XX S STATE ST","0320","ROBBERY","STRONGARM - NO WEAPON","CTA TRAIN","false","false",123,1,42,32,"03",2011,"02/04/2016 06:33:39 AM",21:00:00,"Inactive"
7873303,"HT104318",2011-01-04,"046XX N BROADWAY","0320","ROBBERY","STRONGARM - NO WEAPON","CTA TRAIN","false","false",2311,19,46,3,"03",2011,"02/04/2016 06:33:39 AM",02:00:00,"Active"
7874529,"HT105131",2011-01-04,"095XX S DAN RYAN EXPY IB","0870","THEFT","POCKET-PICKING","CTA TRAIN","false","false",511,5,21,49,"06",2011,"02/04/2016 06:33:39 AM",04:00:00,"Active"
