Date,TAVG,TMAX,TMIN,PRCP,SNOW,SNWD
2/29/28,,39,27,0,0,0
3/1/28,,36,20,0,0,0
3/2/28,,42,25,0,0,0
3/3/28,,37,15,0,0,0
3/4/28,,41,16,0,0,0
3/5/28,,28,8,0,0,0
3/6/28,,38,22,0,0,0
3/7/28,,43,28,0,0,0
3/8/28,,42,28,0.36,0,0
3/9/28,,39,27,0.06,0,0
3/10/28,,33,28,0,0,0
3/11/28,,44,30,0.04,0,0
3/12/28,,64,32,0,0,0
3/13/28,,55,34,0.15,0,0
3/14/28,,42,30,0,0,0
3/15/28,,36,26,0,0,0
3/16/28,,31,26,0,0,0
3/17/28,,31,27,0,0,0
3/18/28,,37,26,0,0,0
3/19/28,,43,26,0,0,0
3/20/28,,43,28,0,0,0
3/21/28,,55,29,0,0,0
3/22/28,,62,37,0,0,0
3/23/28,,77,33,0,0,0
3/24/28,,74,50,0,0,0
3/25/28,,71,53,0,0,0
3/26/28,,57,22,0.33,0.3,0
3/27/28,,31,18,0,0.3,0
3/28/28,,38,26,0,0,0
3/29/28,,35,30,0.35,4.2,1
3/30/28,,36,27,0.1,1.2,0
3/31/28,,48,26,0,0,0
4/1/28,,60,35,0,0,0
4/2/28,,71,41,0,0,0
4/3/28,,74,58,0,0,0
4/4/28,,66,58,0.08,0,0
4/5/28,,62,43,0.9,0,0
4/6/28,,64,39,0.13,0,0
4/7/28,,53,27,0.28,0.1,0
4/8/28,,35,26,0.01,0.6,0
4/9/28,,36,22,0,0,0
4/10/28,,48,27,0,0,0
4/11/28,,55,32,0,0,0
4/12/28,,56,36,0,0,0
4/13/28,,53,33,0.47,0,0
4/14/28,,43,25,0.1,0,0
4/15/28,,34,21,0,0,0
4/16/28,,52,28,0,0,0
4/17/28,,46,35,0,0,0
4/18/28,,68,34,0,0,0
4/19/28,,45,33,0,0,0
4/20/28,,44,31,0,0,0
4/21/28,,47,39,0,0,0
4/22/28,,49,34,0,0,0
4/23/28,,54,32,0,0,0
4/24/28,,47,31,0,0,0
4/25/28,,47,32,0,0,0
4/26/28,,51,29,0,0,0
4/27/28,,45,28,0,0,0
4/28/28,,64,30,0,0,0
4/29/28,,74,38,0.04,0,0
4/30/28,,67,50,0,0,0
5/1/28,,72,47,0,0,0
5/2/28,,83,44,0,0,0
5/3/28,,89,62,0,0,0
5/4/28,,79,45,0.09,0,0
5/5/28,,65,45,0,0,0
5/6/28,,53,39,0,0,0
5/7/28,,57,35,0,0,0
5/8/28,,73,37,0,0,0
5/9/28,,86,48,0,0,0
5/10/28,,78,51,0.15,0,0
5/11/28,,65,41,0,0,0
