"Date","routename","number_of_trips","Avg_temp","TMAX","TMIN","PRCP"
"1/1/2001","Indiana/Hyde Park",153617,20,26,13,0
"1/1/2001","Hyde Park Express",22001,20,26,13,0
"1/1/2001","Hyde Park Express",22001,20,26,13,0
"1/1/2001","King Drive",567413,20,26,13,0
"1/1/2001","Cottage Grove",618796,20,26,13,0
"1/1/2001","Jackson Park Express",493926,20,26,13,0
"1/1/2001","Harrison",121097,20,26,13,0
"1/1/2001","Halsted",521892,20,26,13,0
"1/1/2001","South Halsted",89030,20,26,13,0
"1/1/2001","Ashland",811006,20,26,13,0
"1/1/2001","Museum of S & I",4115,20,26,13,0
"1/1/2001","Lincoln/Sedgwick",86887,20,26,13,0
"1/1/2001","Roosevelt",288055,20,26,13,0
"1/1/2001","Jeffery Express",186655,20,26,13,0
"1/1/2001","Westchester",11319,20,26,13,0
"1/1/2001","16th/18th",49130,20,26,13,0
"1/1/2001","United Center Express",6273,20,26,13,0
"1/1/2001","Madison",566683,20,26,13,0
"1/1/2001","Cermak",218216,20,26,13,0
"1/1/2001","Cermak Express",8991,20,26,13,0
"1/1/2001","Clark",577386,20,26,13,0
"1/1/2001","Wentworth",85655,20,26,13,0
"1/1/2001","West Cermak",3186,20,26,13,0
"1/1/2001","South Deering",147904,20,26,13,0
"1/1/2001","Stony Island",336246,20,26,13,0
"1/1/2001","State",451955,20,26,13,0
"1/1/2001","South Chicago",95218,20,26,13,0
"1/1/2001","Mag Mile Express",16944,20,26,13,0
"1/1/2001","South Michigan",214933,20,26,13,0
"1/1/2001","35th",153931,20,26,13,0
"1/1/2001","Broadway",436950,20,26,13,0
"1/1/2001","Sedgwick",55014,20,26,13,0
"1/1/2001","Pershing",49492,20,26,13,0
"1/1/2001","43rd",34213,20,26,13,0
"1/1/2001","Wallace-Racine",162910,20,26,13,0
"1/1/2001","47th",220680,20,26,13,0
"1/1/2001","South Damen",24654,20,26,13,0
"1/1/2001","Western",666662,20,26,13,0
"1/1/2001","South Western",7332,20,26,13,0
"1/1/2001","North Western",133958,20,26,13,0
"1/1/2001","Western Express",112899,20,26,13,0
"1/1/2001","Damen",213128,20,26,13,0
"1/1/2001","51st",127952,20,26,13,0
"1/1/2001","Kedzie/California",313490,20,26,13,0
"1/1/2001","South Kedzie",154232,20,26,13,0
"1/1/2001","Pulaski",589242,20,26,13,0
"1/1/2001","South Pulaski",218700,20,26,13,0
"1/1/2001","Cicero",334903,20,26,13,0
"1/1/2001","North Cicero/Skokie Blvd.",28188,20,26,13,0
"1/1/2001","South Cicero",134823,20,26,13,0
"1/1/2001","Garfield",350112,20,26,13,0
"1/1/2001","55th/Narragansett",24237,20,26,13,0
"1/1/2001","Milwaukee",381555,20,26,13,0
"1/1/2001","North Milwaukee",11938,20,26,13,0
