"Date","station_name","station_id","number_of_trips","Avg_temp","SNOW","PRCP","SNWD"
"1/1/2001","Howard",40900,164447,20,0,0,17
"1/1/2001","Jarvis",41190,40567,20,0,0,17
"1/1/2001","Morse",40100,119772,20,0,0,17
"1/1/2001","Loyola",41300,125008,20,0,0,17
"1/1/2001","Granville",40760,84189,20,0,0,17
"1/1/2001","Thorndale",40880,79184,20,0,0,17
"1/1/2001","Bryn Mawr",41380,117597,20,0,0,17
"1/1/2001","Berwyn",40340,88683,20,0,0,17
"1/1/2001","Argyle",41200,74240,20,0,0,17
"1/1/2001","Lawrence",40770,72786,20,0,0,17
"1/1/2001","Wilson",40540,131094,20,0,0,17
"1/1/2001","Sheridan",40080,116958,20,0,0,17
"1/1/2001","Addison-North Main",41420,126797,20,0,0,17
"1/1/2001","Belmont-North Main",41320,248310,20,0,0,17
"1/1/2001","Fullerton",41220,259203,20,0,0,17
"1/1/2001","North/Clybourn",40650,97126,20,0,0,17
"1/1/2001","Clark/Division",40630,177985,20,0,0,17
"1/1/2001","Chicago/State",41450,335872,20,0,0,17
"1/1/2001","Grand/State",40330,223562,20,0,0,17
"1/1/2001","Lake/State",41660,334704,20,0,0,17
"1/1/2001","Washington/State",40500,167567,20,0,0,17
"1/1/2001","Monroe/State",41090,172809,20,0,0,17
"1/1/2001","Jackson/State",40560,273468,20,0,0,17
"1/1/2001","Harrison",41490,60874,20,0,0,17
"1/1/2001","Roosevelt",41400,144179,20,0,0,17
"1/1/2001","Cermak-Chinatown",41000,72450,20,0,0,17
"1/1/2001","Sox-35th-Dan Ryan",40190,91457,20,0,0,17
"1/1/2001","47th-Dan Ryan",41230,62530,20,0,0,17
"1/1/2001","Garfield-Dan Ryan",41170,121347,20,0,0,17
"1/1/2001","63rd-Dan Ryan",40910,98640,20,0,0,17
"1/1/2001","69th",40990,182594,20,0,0,17
"1/1/2001","79th",40240,197643,20,0,0,17
"1/1/2001","87th",41430,140619,20,0,0,17
"1/1/2001","95th/Dan Ryan",40450,366040,20,0,0,17
"1/1/2001","Linden",41050,26407,20,0,0,17
"1/1/2001","Central-Evanston",41250,23749,20,0,0,17
"1/1/2001","Noyes",40400,14689,20,0,0,17
"1/1/2001","Foster",40520,17937,20,0,0,17
"1/1/2001","Davis",40050,95161,20,0,0,17
"1/1/2001","Dempster",40690,17244,20,0,0,17
"1/1/2001","Main",40270,31118,20,0,0,17
"1/1/2001","South Boulevard",40840,21495,20,0,0,17
"1/1/2001","Skokie",40140,55472,20,0,0,17
"1/1/2001","O'Hare Airport",40890,228112,20,0,0,17
"1/1/2001","Rosemont",40820,126579,20,0,0,17
"1/1/2001","Cumberland",40230,115054,20,0,0,17
"1/1/2001","Harlem-O'Hare",40750,65534,20,0,0,17
"1/1/2001","Jefferson Park",41280,165259,20,0,0,17
"1/1/2001","Montrose-O'Hare",41330,47122,20,0,0,17
"1/1/2001","Irving Park-O'Hare",40550,94013,20,0,0,17
"1/1/2001","Addison-O'Hare",41240,58124,20,0,0,17
